"pageId","box","attributes"
"0","[0,1586,0,2245]",""
"1","[0,1586,0,2245]",""
"2","[0,1586,0,2245]",""
"3","[0,1586,0,2245]",""
"4","[0,1586,0,2245]",""
"5","[0,1586,0,2245]",""
"6","[0,1586,0,2245]",""
"7","[0,1586,0,2245]",""
"8","[0,1586,0,2245]",""
"9","[0,1586,0,2245]",""
"10","[0,1586,0,2245]",""
"11","[0,1586,0,2245]",""
"12","[0,1586,0,2245]",""
"13","[0,1586,0,2245]",""
"14","[0,1586,0,2245]",""
"15","[0,1586,0,2245]",""
"16","[0,1586,0,2245]",""
"17","[0,1586,0,2245]",""
"18","[0,1586,0,2245]",""
